vertical_name,vertical_code,task_count
Marketing,MKT,63
RGU,RGU,53
Creative,CRT,38
Placements,PLC,3
RTC,RTC,3
RAALE - Learning Ecosystem,RAALE,2
"Fashion Design, Media & Performing Arts",FDMPA,1
Research,RSH,1
Registrar,REG,1
Special Strategic Projects,SSP,1
